CAP-01	TARGET-0001	0	创作状态 | 设与赛道
CAP-01	TARGET-0002	0.4	创作状态
CAP-01	TARGET-0003	0.8	创作状态 | 两条视频起号2万 | 人设与赛道
CAP-01	TARGET-0004	1.2	创作状态 | 两条视频起号2万 | 人设与赛道
CAP-01	TARGET-0005	1.55	创作状态 | 两条视频起号2万
CAP-02	TARGET-0006	2.8	今天不管你是新手小白博主转型
CAP-02	TARGET-0007	3.4	今天不管你是新手小白博主转型
CAP-02	TARGET-0008	4.2	今天不管你是新手小白博主转型
CAP-02	TARGET-0009	5	还是企业ip
CAP-02	TARGET-0010	5.8	看完这条视频
CAP-02	TARGET-0011	6.6	也能把流水账拍成爆款vlog
CAP-03	TARGET-0012	10	所以我们第一步还是
CAP-03	TARGET-0013	12.5	第一点就是好奇
CAP-03	TARGET-0014	15	或者是小众工作
CAP-03	TARGET-0015	17.5	上学实习打工人和宝妈
CAP-03	TARGET-0016	20	什么是造梦
CAP-03	TARGET-0017	22.5	
CAP-03	TARGET-0018	24.8	
CAP-04	TARGET-0019	25.8	2026年
CAP-04	TARGET-0020	28.8	第一点就是真买
CAP-04	TARGET-0021	31.8	两个参考博主小马和21%
CAP-04	TARGET-0022	33.4	
CAP-04	TARGET-0023	35.4	！什么叫做反差
CAP-04	TARGET-0024	37.4	你以为英国留学
CAP-04	TARGET-0025	39.8	但是他每天得像流浪汉一样
CAP-04	TARGET-0026	41.6	这就是反差
CAP-04	TARGET-0027	44	就让用户参与你的生活
CAP-04	TARGET-0028	46	我举两个例子
CAP-04	TARGET-0029	47.4	第二个就是萝卜乔乔
CAP-04	TARGET-0030	48.3	第二个就是萝卜乔乔
CAP-05	TARGET-0031	46.1	我举两个例子
CAP-05	TARGET-0032	46.7	个是秦思
CAP-05	TARGET-0033	47.3	第二个就是萝卜乔乔
CAP-05	TARGET-0034	47.9	
CAP-05	TARGET-0035	48.4	
CAP-06	TARGET-0036	48.568	那么vlog也分为两种
CAP-06	TARGET-0037	49.818	第一种就是日常型
CAP-06	TARGET-0038	51.068	那么这种我们主要是拍软素材
CAP-06	TARGET-0039	52.318	
CAP-06	TARGET-0040	53.568	但是软素材不代表流水
CAP-06	TARGET-0041	54.818	那么第一种就是叙事型
CAP-06	TARGET-0042	56.068	就是每一期故事都有一个主线
CAP-06	TARGET-0043	57.318	就是每一期故事都有一个主线
CAP-06	TARGET-0044	58.568	
CAP-06	TARGET-0045	59.818	那么第二种就是固定的
CAP-06	TARGET-0046	61.068	
CAP-06	TARGET-0047	62.318	
CAP-06	TARGET-0048	63.568	那么第二种呢
CAP-06	TARGET-0049	64.818	VLOG依旧讲究主线和叙事
CAP-06	TARGET-0050	66.068	VLOG依旧讲究王线和叙事
CAP-06	TARGET-0051	66.927	比如说监战非呀
CAP-07	TARGET-0052	58.2	那比如就是秦思
CAP-07	TARGET-0053	59.2	那么第三种就是固定的
CAP-07	TARGET-0054	60.2	
CAP-07	TARGET-0055	61.2	
CAP-07	TARGET-0056	62.2	
CAP-07	TARGET-0057	63.2	那么第二种呢
CAP-07	TARGET-0058	65	VLOG依旧讲究主线和叙事
CAP-07	TARGET-0059	66.5	VLOG依旧讲究主线和叙事
CAP-07	TARGET-0060	67.5	比如说蓝战非呀
CAP-07	TARGET-0061	68.5	
